bin,time_start,time_end,density_veh_per_mile,flow_vph,speed_mph,N_mainline,density_bin,scenario
30,1800.0,1859.9,37.78354054649856,1663.3192477239438,44.03032498262062,89.46,40.0,Medium
31,1860.0,1919.9,37.644868561111046,1626.8035725427444,43.200629838803586,89.13166666666666,40.0,Medium
32,1920.0,1979.9,37.418206737279675,1656.4775229121549,44.28384526208143,88.595,40.0,Medium
33,1980.0,2039.9,36.368663944321376,1588.3067084323673,43.68215094247799,86.11,40.0,Medium
34,2040.0,2099.9,37.8201443192912,1612.734183361035,42.635374766961974,89.54666666666667,40.0,Medium
35,2100.0,2159.9,36.733293834832715,1624.3828572393031,44.23132184545378,86.97333333333333,40.0,Medium
36,2160.0,2219.9,35.76258993712011,1533.2432298331728,42.882071104831006,84.675,40.0,Medium
37,2220.0,2279.9,37.13241574201404,1543.7186745774372,41.57019288452113,87.91833333333334,40.0,Medium
38,2280.0,2339.9,36.565057263728065,1582.109997109946,43.24366617114395,86.575,40.0,Medium
39,2340.0,2399.9,35.34657398095757,1504.3778970270148,42.5712876384276,83.69,40.0,Medium
40,2400.0,2459.9,36.75159572122904,1588.6068809893886,43.22511678851017,87.01666666666667,40.0,Medium
41,2460.0,2519.9,35.31560155782533,1560.04031281179,44.18125935626972,83.61666666666666,40.0,Medium
42,2520.0,2579.9,33.8943896872802,1471.2205554112907,43.411589123850455,80.25166666666667,30.0,Medium
43,2580.0,2639.9,36.440463652491566,1559.605992571659,42.79811171738176,86.28,40.0,Medium
44,2640.0,2699.9,35.18960010917373,1570.57674761617,44.63805578844774,83.31833333333333,40.0,Medium
45,2700.0,2759.9,34.43288749855659,1481.8642261652649,43.04685010925665,81.52666666666667,30.0,Medium
46,2760.0,2819.9,36.05682795687636,1527.118078897868,42.34836981869259,85.37166666666667,40.0,Medium
47,2820.0,2879.9,35.33812695646696,1514.2038463647398,42.84605832286322,83.67,40.0,Medium
48,2880.0,2939.9,34.42021696182067,1494.616234811387,43.434281719119575,81.49666666666667,30.0,Medium
49,2940.0,2999.9,36.03993390789515,1535.9304798666487,42.588501985518235,85.33166666666666,40.0,Medium
50,3000.0,3059.9,35.10583378297519,1512.195253902501,43.058791172557804,83.12,40.0,Medium
51,3060.0,3119.9,36.707952761360886,1613.0561501521786,43.96967287190996,86.91333333333333,40.0,Medium
52,3120.0,3179.9,35.38880910341062,1541.9925814594276,43.56690206969211,83.79,40.0,Medium
53,3180.0,3239.9,35.57745931703425,1552.3529998028107,43.67159477755184,84.23666666666666,40.0,Medium
54,3240.0,3299.9,35.42400503878817,1507.9767947065175,42.585630494220545,83.87333333333333,40.0,Medium
55,3300.0,3359.9,36.99937510628693,1560.1670960405474,42.16263617270212,87.60333333333334,40.0,Medium
56,3360.0,3419.9,36.2581487072359,1566.708646730084,43.2517593005947,85.84833333333333,40.0,Medium
57,3420.0,3479.9,36.551682808284596,1562.1638606263264,42.76394160300794,86.54333333333334,40.0,Medium
58,3480.0,3539.9,37.66387436621491,1602.6766588312046,42.54866965660063,89.17666666666666,40.0,Medium
59,3540.0,3599.9,37.4393242985062,1621.8140859636987,43.331410380076534,88.645,40.0,Medium
60,3600.0,3659.9,37.26193678420339,1601.3804378169227,43.00816342250794,88.225,40.0,Medium
61,3660.0,3719.9,37.67513706553573,1567.955709812929,41.61775294167618,89.20333333333333,40.0,Medium
62,3720.0,3779.9,37.50549265701598,1639.1783872864492,43.71417233306969,88.80166666666666,40.0,Medium
63,3780.0,3839.9,36.912089186550624,1595.5139591853717,43.250480926494994,87.39666666666666,40.0,Medium
